"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.81352343358396,0.863,0.150803578895774,0.0691750037659496,0.714757145143486,0.115324117204974,0.43375,0.387222050852824,0.360707070707071,0.32267293768112,0.0675,0.135,11714.4676681274,681.337517449174,1.12056725921624e-148,5
"2","LQ","1","fc.LQ_rm.1",0.876596240601504,0.992,0.0757106235167911,0.0366644013411551,0.816632484169031,0.0702579417027804,0.45975,0.31048282292799,0.18530303030303,0.176770591606559,0.0025,0.005,11382.8090050588,349.6788543805,1.17004227109435e-76,8
"3","H","1","fc.H_rm.1",0.905730701754386,0.988,0.0795544035276968,0.0635238102875194,0.82306037549518,0.0627072899507725,0.41725,0.376669948363285,0.250580808080808,0.164023492995558,0.0225,0.045,11167.7476144384,134.617463760133,5.86393517483867e-30,50
"4","LQH","1","fc.LQH_rm.1",0.906498496240602,0.993,0.0766203632584064,0.0631650612036928,0.825755864587191,0.062803251250218,0.4695,0.297993847811215,0.245580808080808,0.159618661280173,0.0225,0.045,11152.0141278472,118.883977168958,1.52993283135568e-26,48
"5","LQHP","1","fc.LQHP_rm.1",0.906155137844612,0.993,0.077578044668501,0.0657405473280348,0.825086236315279,0.0650421412525578,0.428,0.349732278559853,0.258055555555556,0.162390513923522,0.0225,0.045,11162.1860367465,129.055886068205,9.45954857636331e-29,51
"6","LQHPT","1","fc.LQHPT_rm.1",0.927543609022556,0.989,0.0884325594195174,0.040640036512388,0.837888707369626,0.0306841702128941,0.36575,0.42943169810033,0.323308080808081,0.146135410172606,0.015,0.0238047614284762,11033.1301506783,0,0.999999999999833,64
"7","L","1.5","fc.L_rm.1.5",0.813354887218045,0.867,0.147537845757421,0.0644848638949139,0.71832737229889,0.112011232625901,0.44375,0.364295095584152,0.355707070707071,0.322429194792477,0.055,0.11,11715.0322281856,681.90207750729,8.44977743921592e-149,5
"8","LQ","1.5","fc.LQ_rm.1.5",0.873316290726817,0.993,0.0879036097359552,0.0318911907491844,0.810546455349883,0.0744525221503172,0.47,0.380584637980393,0.18780303030303,0.177118101432103,0.0025,0.005,11412.0135645289,378.883413850623,5.32735993229628e-83,8
"9","H","1.5","fc.H_rm.1.5",0.903073934837093,0.983,0.0582806812665823,0.0507228965671216,0.840577394029172,0.0496301371752909,0.44275,0.361331219243508,0.178106060606061,0.156825208450394,0.0125,0.025,11159.7893368049,126.659186126586,3.13550278915122e-28,33
"10","LQH","1.5","fc.LQH_rm.1.5",0.903564661654135,0.99,0.0556759250890938,0.0442379427240277,0.842807189228922,0.0436864099444072,0.482,0.312229616361634,0.183131313131313,0.148795936062499,0.0025,0.005,11177.6059712408,144.475820562535,4.24105769516599e-32,43
"11","LQHP","1.5","fc.LQHP_rm.1.5",0.903388471177945,0.974,0.054299236980583,0.0449300196284287,0.8445475002525,0.0432388721061635,0.48875,0.302287253011657,0.187954545454545,0.128387702697169,0.0025,0.005,11164.6214909014,131.491340223172,2.79909901555814e-29,39
"12","LQHPT","1.5","fc.LQHPT_rm.1.5",0.917855137844611,0.977,0.0683022144345145,0.0359438792212105,0.847434078347866,0.020272650968772,0.5485,0.401846985804298,0.240858585858586,0.129222952970164,0.015,0.0238047614284762,11091.9725601093,58.8424094310594,1.66929518660294e-13,52
"13","L","2","fc.L_rm.2",0.813221804511278,0.88,0.144392935787541,0.0599885946382373,0.721786899968782,0.108934262246542,0.463,0.357001400557477,0.350707070707071,0.318019936372894,0.025,0.05,11715.7633164943,682.633165816,5.86261616272126e-149,5
"14","LQ","2","fc.LQ_rm.2",0.869129573934837,0.991,0.0950001181547153,0.0310309579334233,0.797320514584283,0.0683599712493149,0.43325,0.428837478928012,0.212828282828283,0.196009886288692,0.01,0.02,11442.9284495881,409.798298909802,1.03140692993209e-89,9
"15","H","2","fc.H_rm.2",0.901876817042606,0.982,0.0490567958948619,0.0427796320085826,0.847862991622109,0.0403434248863065,0.519,0.268580217688,0.140580808080808,0.12304772769743,0.0025,0.005,11177.0726834185,143.942532740255,5.5370208625746e-32,32
"16","LQH","2","fc.LQH_rm.2",0.901825187969925,0.974,0.0465590257768488,0.0320774424580094,0.851995056131459,0.0318904095951155,0.5885,0.183007285829463,0.135580808080808,0.128251656516573,0.0025,0.005,11172.7151424605,139.584991782218,4.8921994698942e-31,31
"17","LQHP","2","fc.LQHP_rm.2",0.902252380952381,0.974,0.0451335600672478,0.0327173557656618,0.854884493901238,0.0346290388286938,0.60825,0.155594290812142,0.133005050505051,0.119094903592162,0.0025,0.005,11172.6180352723,139.487884594031,5.13559437171875e-31,34
"18","LQHPT","2","fc.LQHPT_rm.2",0.912596741854637,0.964,0.0577720207489025,0.035282593358102,0.852556701955419,0.0226069811143513,0.541,0.372581087371148,0.130833333333333,0.135082279453014,0.0025,0.005,11122.5195581855,89.3894075071839,3.88451488108358e-20,42
"19","L","2.5","fc.L_rm.2.5",0.813082957393484,0.88,0.141043590643004,0.0556184541971032,0.72516468018229,0.105802120191216,0.47025,0.3355,0.350707070707071,0.318019936372894,0.02,0.04,11716.6606668774,683.530516199162,3.74312474732079e-149,5
"20","LQ","2.5","fc.LQ_rm.2.5",0.865077944862155,0.993,0.102293543288746,0.03157392006284,0.787841957513219,0.0702368789644495,0.43325,0.406826232356437,0.232853535353535,0.217267027476435,0.01,0.02,11470.1010667869,436.970916108608,1.29709322496018e-95,8
"21","H","2.5","fc.H_rm.2.5",0.9008,0.974,0.0471728328846855,0.0433972606830105,0.849518564036486,0.0407694990682429,0.566,0.261178100153899,0.135555555555556,0.117305131290837,0.0025,0.005,11193.3292459819,160.199095303633,1.63383596531586e-35,31
"22","LQH","2.5","fc.LQH_rm.2.5",0.900138721804511,0.975,0.0505573607714976,0.0240395187447887,0.856828509019597,0.0357586272911484,0.6455,0.121736053273739,0.123106060606061,0.130956869086983,0.0025,0.005,11195.9666369007,162.836486222452,4.3702500911219e-36,31
"23","LQHP","2.5","fc.LQHP_rm.2.5",0.900870676691729,0.973,0.0483397635998858,0.0241982892400619,0.858115856588815,0.0350061692089957,0.68675,0.137543629441716,0.133106060606061,0.121656099771324,0.0025,0.005,11180.7531640362,147.623013357959,8.79164105390261e-33,29
"24","LQHPT","2.5","fc.LQHPT_rm.2.5",0.907661152882206,0.977,0.0613281400928651,0.0299332653293948,0.850579949148081,0.0302652557484541,0.56525,0.330219497708216,0.123257575757576,0.124576140877911,0.0025,0.005,11150.9062452243,117.776094546025,2.66223273514956e-26,34
"25","L","3","fc.L_rm.3",0.812865914786967,0.88,0.138860013008723,0.0509310841206327,0.727561990728413,0.10309504523063,0.495,0.327054531640622,0.345681818181818,0.314375830073553,0.02,0.04,11717.8169502478,684.686799569554,2.09966765217492e-149,5
"26","LQ","3","fc.LQ_rm.3",0.859093483709273,0.991,0.108782582261741,0.0332156010119589,0.778960046722655,0.0734191873718596,0.41075,0.382418074014989,0.255353535353535,0.238450726791163,0.0125,0.025,11504.9239446457,471.793793967392,3.55860137219612e-103,8
"27","H","3","fc.H_rm.3",0.899639598997494,0.968,0.0480228626446566,0.0367159782844808,0.851492993144759,0.0389288751509531,0.63025,0.25034293146269,0.128055555555556,0.10815084344688,0.0025,0.005,11210.0352027267,176.905052048383,3.85084499167864e-39,30
"28","LQH","3","fc.LQH_rm.3",0.898296741854637,0.976,0.0566119440389913,0.0325295680801787,0.85389618150243,0.046604081271634,0.66575,0.172488405407436,0.128080808080808,0.137058759518905,0.0025,0.005,11221.6319269313,188.501776253044,1.16777553410625e-41,32
"29","LQHP","3","fc.LQHP_rm.3",0.89979022556391,0.976,0.0575908392332427,0.0291538385801384,0.851999764792659,0.0439801008900548,0.663,0.167604693649472,0.135580808080808,0.129801723406298,0.0025,0.005,11197.8940894676,164.763938789334,1.66711394225994e-36,28
"30","LQHPT","3","fc.LQHPT_rm.3",0.905015789473684,0.977,0.0671331942096489,0.0248071551692589,0.848294897821769,0.0369320013679509,0.49125,0.365903789722563,0.113181818181818,0.11907934248711,0.0025,0.005,11179.7902453297,146.660094651448,1.42286956095968e-32,32
"31","L","3.5","fc.L_rm.3.5",0.812635964912281,0.892,0.137446280389207,0.0461923393956235,0.729221523563072,0.100755656355396,0.48875,0.326757172836343,0.343181818181818,0.309992002029591,0.0125,0.025,11719.0550098057,685.924859127404,1.13060093517769e-149,5
"32","LQ","3.5","fc.LQ_rm.3.5",0.85452656641604,0.989,0.11232037744419,0.0359777949944696,0.772949252039637,0.0767131467109858,0.39125,0.391898264859644,0.270454545454545,0.241022271869614,0.0125,0.025,11527.8657558795,494.73560520122,3.71131938488295e-108,7
"33","H","3.5","fc.H_rm.3.5",0.898537593984962,0.976,0.0450675588708267,0.0290284048902853,0.855660865472215,0.0334970211192193,0.6285,0.280656967370014,0.105555555555556,0.10200459926692,0.0025,0.005,11217.2825852169,184.152434538682,1.02755937378096e-40,26
"34","LQH","3.5","fc.LQH_rm.3.5",0.896918045112782,0.981,0.0597132448309222,0.0346962034548166,0.852858786952955,0.050634345038405,0.6495,0.199339743486675,0.130580808080808,0.140319509834956,0.0025,0.005,11223.2958064939,190.165655815614,5.08220894078935e-42,25
"35","LQHP","3.5","fc.LQHP_rm.3.5",0.898458145363409,0.978,0.0611356646253468,0.0297113928952265,0.849796024684783,0.0469714076900497,0.6285,0.140888845075352,0.138080808080808,0.133052428308191,0.0025,0.005,11223.4258862036,190.295735525329,4.76218284059737e-42,30
"36","LQHPT","3.5","fc.LQHPT_rm.3.5",0.902190726817043,0.98,0.0684409076996483,0.0259206780695231,0.849051615998384,0.0400295367633235,0.55175,0.271689007261366,0.110681818181818,0.118712967257336,0.0025,0.005,11194.01187152,160.881720841693,1.1613903139517e-35,26
"37","L","4","fc.L_rm.4",0.812400250626566,0.893,0.135831671271424,0.0416246844364609,0.73089040493308,0.0984615384749288,0.49675,0.327819437088976,0.340681818181818,0.305627093220141,0.0075,0.015,11720.4578768311,687.327726152835,5.60635554349569e-150,5
"38","LQ","4","fc.LQ_rm.4",0.85167694235589,0.988,0.115404612632649,0.0382065579405356,0.768569330590013,0.0806900661221402,0.393,0.401436586939125,0.302979797979798,0.287312805313534,0.0125,0.025,11546.6755850177,513.545434339467,3.0551028115717e-112,7
"39","H","4","fc.H_rm.4",0.898242105263158,0.982,0.0439813947958441,0.0246113351215607,0.857786562499044,0.0311400508516041,0.67475,0.206567785484572,0.0980050505050505,0.0974546087952288,0.0025,0.005,11221.4306826491,188.300531970786,1.29139473904382e-41,23
"40","LQH","4","fc.LQH_rm.4",0.895873558897243,0.985,0.0589439116156831,0.0360834483498947,0.853785545830489,0.0508367817815374,0.682,0.228943952384275,0.115454545454545,0.126146532486637,0.0025,0.005,11226.6998063079,193.569655629666,9.26580909379272e-43,21
"41","LQHP","4","fc.LQHP_rm.4",0.896528822055138,0.985,0.0626796780061223,0.0299650068228168,0.849453483093739,0.0468771315199769,0.62675,0.194539413316,0.122979797979798,0.123202886035336,0.0025,0.005,11231.5803001846,198.450149506349,8.07416403412212e-44,25
"42","LQHPT","4","fc.LQHPT_rm.4",0.899475689223058,0.981,0.0651467360935455,0.0316623905026071,0.850535063568724,0.0403483849691535,0.57,0.261430679148412,0.110681818181818,0.118712967257336,0.0025,0.005,11209.0110081201,175.880857441824,6.42624191236555e-39,23
"43","L","4.5","fc.L_rm.4.5",0.812109273182957,0.902,0.133289592840417,0.0358876027610853,0.73341210196858,0.0952092337776066,0.52825,0.302747832362182,0.330681818181818,0.288373777000801,0.0025,0.005,11722.0121642602,688.882013581979,2.57733819274356e-150,5
"44","LQ","4.5","fc.LQ_rm.4.5",0.848919799498747,0.985,0.119840728280541,0.039894276074876,0.763772689385013,0.0859632617680228,0.39625,0.385737713133333,0.315505050505051,0.303665613489304,0.0125,0.025,11564.7538032987,531.623652620479,3.62568949983073e-116,7
"45","H","4.5","fc.H_rm.4.5",0.897998997493734,0.988,0.0431940655980065,0.0211661852608035,0.860000082865826,0.0296588652423153,0.695,0.18622208963135,0.0980050505050505,0.0981363037247909,0.0025,0.005,11226.4185931327,193.288442454459,1.06646845296033e-42,20
"46","LQH","4.5","fc.LQH_rm.4.5",0.89484686716792,0.989,0.0575457960335564,0.0359215637815311,0.853925637689388,0.0502676905582586,0.69125,0.227192099334462,0.10790404040404,0.118949087082771,0.0025,0.005,11230.3273806989,197.197230020616,1.51065599224013e-43,18
"47","LQHP","4.5","fc.LQHP_rm.4.5",0.894288095238095,0.994,0.0613145703176457,0.0308700501515189,0.850200276601996,0.0444992524213422,0.62775,0.1678359814422,0.10290404040404,0.111149775182912,0.0025,0.005,11238.1001979608,204.970047282572,3.09970065351433e-45,19
"48","LQHPT","4.5","fc.LQHPT_rm.4.5",0.896844862155389,0.988,0.0634279574519782,0.0330781961886279,0.851451338886287,0.0388579751535125,0.57975,0.27773773600287,0.103181818181818,0.118875586049776,0.0025,0.005,11225.7503233451,192.620172666808,1.48957012608139e-42,21
"49","L","5","fc.L_rm.5",0.811835463659148,0.904,0.130703765489001,0.0306495418657513,0.736001316684163,0.0922557011850876,0.513,0.314637357392072,0.323181818181818,0.275677477544584,0.0025,0.005,11723.7292961864,690.599145508171,1.09219692468059e-150,5
"50","LQ","5","fc.LQ_rm.5",0.846111278195489,0.989,0.121263387973311,0.0371428662825651,0.762029704848199,0.0862721708619137,0.42425,0.356409291872888,0.310505050505051,0.294821198054972,0.01,0.02,11582.6904532603,549.56030258208,4.61845331271884e-120,7
"51","H","5","fc.H_rm.5",0.897704010025063,0.99,0.0418814290225641,0.01927167766029,0.862267998335032,0.0280919901332811,0.716,0.116401603654474,0.097979797979798,0.092435225930139,0.0025,0.005,11238.4173946188,205.287243940556,2.64509561621253e-45,21
"52","LQH","5","fc.LQH_rm.5",0.893863784461153,0.993,0.0561034354594797,0.0351097253362412,0.854224814808013,0.0489907847860948,0.68225,0.23808174366521,0.0929292929292929,0.0961654357954584,0.0025,0.005,11229.5822985858,196.452147907574,2.19259340181565e-43,13
"53","LQHP","5","fc.LQHP_rm.5",0.893284586466165,0.994,0.0605061554328906,0.0309710070239917,0.849807201343809,0.0424566780003083,0.6465,0.163120609774894,0.0853787878787879,0.0877471584726159,0.0025,0.005,11238.6285038602,205.498353181905,2.38012401573915e-45,15
"54","LQHPT","5","fc.LQHPT_rm.5",0.895359022556391,0.993,0.064258144757538,0.0332603061817911,0.851333530665712,0.0365007860269606,0.55925,0.250464069279408,0.0956565656565657,0.115140261721958,0.0025,0.005,11227.5402203669,194.410069688613,6.0868101185446e-43,16
